path_paras,trial,model_name,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A10_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A10_test,A20_test
tanh-13-RMSE,1,RUN-ELM,"{'epoch': 1000, 'pop_size': 50}",319.496,319.509,0.90019,1.46709,0.97952,0.95945,0.13421,0.95945,0.97104,0.9018,168.81129,95.94531,0.49714,0.80213,1.17261,2.06352,0.9376,0.86482,0.15135,0.86482,0.92717,0.81818,-31.15684,86.67169,0.49129,0.75958
tanh-13-RMSE,2,GA-ELM,"{'epoch': 1000, 'pop_size': 50, 'pc': 0.85, 'pm': 0.05}",738.72,738.761,0.96204,1.53306,0.97761,0.95572,0.15197,0.95572,0.96825,0.87152,193.45874,95.57248,0.45871,0.75225,1.1817,2.03385,0.94101,0.86868,0.16025,0.86868,0.91612,0.83217,-97.79864,87.39819,0.49129,0.75958
tanh-13-RMSE,2,CRO-ELM,"{'epoch': 1000, 'pop_size': 50, 'po': 0.85, 'Fb': 0.9, 'Fa': 0.1, 'Fd': 0.1, 'Pd': 0.1, 'GCR': 0.1, 'gamma_min': 0.02, 'gamma_max': 0.2, 'n_trials': 3}",400.452,400.463,0.93509,1.53004,0.9777,0.9559,0.14144,0.9559,0.96853,0.89853,181.96487,95.58987,0.4906,0.78168,1.26277,2.34267,0.92282,0.82578,0.15204,0.82578,0.90665,0.82867,-40.01166,82.84645,0.51568,0.74564
tanh-13-RMSE,2,AGTO-ELM,"{'epoch': 1000, 'pop_size': 50, 'p1': 0.03, 'p2': 0.8, 'beta': 3.0}",701.443,701.485,0.94651,1.4787,0.97919,0.95881,0.14942,0.95881,0.97095,0.8838,192.26295,95.88091,0.44726,0.73508,1.29096,2.26133,0.93006,0.83767,0.16693,0.83767,0.90392,0.7972,-106.32576,84.42064,0.47735,0.74564
tanh-13-RMSE,2,DMOA-ELM,"{'epoch': 1000, 'pop_size': 50, 'peep': 2}",700.977,701.013,0.92603,1.50919,0.97831,0.95709,0.14461,0.95709,0.9691,0.89444,175.85235,95.70928,0.47915,0.76778,1.16084,2.16829,0.93161,0.85075,0.14695,0.85075,0.92049,0.83566,-34.0523,85.28387,0.4878,0.777
tanh-13-RMSE,2,HGS-ELM,"{'epoch': 1000, 'pop_size': 50, 'PUP': 0.03, 'LH': 1000}",696.51,696.533,0.98458,1.63993,0.97434,0.94934,0.14802,0.94934,0.96363,0.87807,199.84839,94.93367,0.46198,0.74652,1.24853,2.10704,0.93192,0.85906,0.1664,0.85906,0.91234,0.76224,-53.37726,86.21537,0.44948,0.7108
tanh-13-RMSE,2,WOA-ELM,"{'epoch': 1000, 'pop_size': 50}",693.27,693.288,0.98491,1.60494,0.97544,0.95148,0.15037,0.95148,0.96576,0.87971,211.29901,95.14757,0.47424,0.73998,1.21336,2.10306,0.93805,0.85959,0.16348,0.85959,0.90843,0.82517,-118.27163,86.63676,0.43206,0.74216
tanh-13-RMSE,2,NRO-ELM,"{'epoch': 1000, 'pop_size': 50}",834.883,834.915,0.9286,1.50243,0.97851,0.95748,0.14306,0.95748,0.97008,0.90098,191.569,95.74768,0.49632,0.76043,1.20494,2.05096,0.93904,0.86646,0.15792,0.86646,0.92532,0.83566,-49.97945,86.92003,0.45645,0.77352
tanh-13-RMSE,2,HGSO-ELM,"{'epoch': 1000, 'pop_size': 50, 'n_clusters': 2}",689.743,689.766,1.05819,1.76256,0.9703,0.94148,0.16009,0.94148,0.9578,0.89771,217.5796,94.14764,0.43418,0.74571,1.16183,2.08056,0.93187,0.86258,0.14767,0.86258,0.93074,0.81119,38.68732,86.27848,0.50174,0.75261
tanh-13-RMSE,2,ASO-ELM,"{'epoch': 1000, 'pop_size': 50, 'alpha': 10, 'beta': 0.2}",934.357,934.384,1.14367,1.84745,0.96732,0.9357,0.18129,0.9357,0.9523,0.8748,225.63652,93.5708,0.37204,0.65985,1.19556,2.25263,0.9211,0.83891,0.1499,0.83891,0.9198,0.81818,42.76152,83.92141,0.5122,0.7561
